point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_max_track_v,vout_min_track_v,headroom_hi_v,headroom_lo_v,swing_span_v,vout_clip_high_v,vout_clip_low_v,vos_crossing_v,vos_offset_record_v,vos_delta_v,peak_inc_gain_v_v,av0_ac_record_db,av0_ratio,ivdd_center_a,ivdd_ac_record_a,ivdd_ratio
mos_ss_-40C_1.20V,mos_ss,-40,1.20,0.6,1,0.938718519,0.149757119,0.261281481,0.149757119,0.7889614,1.12981553,4.43606344e-09,0.0130035031,0.0130035031,3.80456673e-11,195.2028,44.9894,1.09904644,0.000116758358,0.000116044,1.00615592
mos_ss_-40C_1.32V,mos_ss,-40,1.32,0.66,1,1.05031387,0.154671695,0.26968613,0.154671695,0.895642175,1.25503713,5.58686089e-09,0.0117696813,0.0117696819,6.45434645e-10,223.3423,45.1965,1.22785189,0.000120161813,0.000119655,1.00423562
mos_ss_27C_1.08V,mos_ss,27,1.08,0.54,1,0.806475256,0.168339339,0.273524744,0.168339339,0.638135917,0.985645817,1.01594765e-08,0.0181346118,0.0181346118,5.71071315e-12,132.7406,42.2749,1.021548,0.000106417914,0.000105395,1.00970553
mos_ss_27C_1.20V,mos_ss,27,1.20,0.6,1,0.917835896,0.173961401,0.282164104,0.173961401,0.743874495,1.11655946,1.37127988e-08,0.0153530734,0.0153530736,2.30426615e-10,155.3952,43.047,1.09417705,0.000110366317,0.000109687,1.00619323
mos_ss_27C_1.32V,mos_ss,27,1.32,0.66,1,1.02903242,0.180208901,0.29096758,0.180208901,0.848823519,1.24308064,2.2313836e-08,0.0139354978,0.013935498,2.25368489e-10,178.529,43.7571,1.15838726,0.00011323309,0.000112698,1.004748
mos_ss_125C_1.08V,mos_ss,125,1.08,0.54,1,0.776986349,0.206028576,0.303013651,0.206028576,0.570957773,0.964463323,5.06576788e-06,0.0211370862,0.0211370862,1.61797416e-11,98.9067,39.711,1.02252918,0.000100732002,9.98521e-05,1.00881205
mos_ss_125C_1.20V,mos_ss,125,1.20,0.6,1,0.889388686,0.215014902,0.310611314,0.215014902,0.674373784,1.09778479,5.56114852e-06,0.0184283787,0.0184283787,4.93475885e-11,118.8733,40.8965,1.07215931,0.000103577023,0.000102937,1.00621762
mos_ss_125C_1.32V,mos_ss,125,1.32,0.66,1,1.0009402,0.223073866,0.3190598,0.223073866,0.777866334,1.22641348,6.09126514e-06,0.0167274415,0.0167274416,1.27863983e-10,138.2018,41.9971,1.0981425,0.000105872144,0.000105347,1.0049849
mos_ff_-40C_1.08V,mos_ff,-40,1.08,0.54,1,0.828451945,0.141167273,0.251548055,0.141167273,0.687284672,1.00403206,4.15348534e-08,0.0140370593,0.0140370594,6.50663204e-11,149.0624,42.2866,1.14561346,0.000112494274,0.000111806,1.00615597
mos_ff_-40C_1.20V,mos_ff,-40,1.20,0.6,1,0.939680341,0.145818601,0.260319659,0.145818601,0.79386174,1.12946707,5.00681611e-08,0.0130075661,0.0130075661,2.72896497e-11,169.7686,43.0893,1.18957648,0.000115619097,0.000115032,1.00510377
mos_ff_-40C_1.32V,mos_ff,-40,1.32,0.66,1,1.05116497,0.151073158,0.26883503,0.151073158,0.900091812,1.25333905,6.1355463e-08,0.0120962043,0.0120962046,2.52665481e-10,193.1734,44.1351,1.20003061,0.000118527386,0.000118012,1.00436723
mos_ff_27C_1.08V,mos_ff,27,1.08,0.54,1,0.809926816,0.165630609,0.270073184,0.165630609,0.644296207,0.990742879,1.24249264e-07,0.0162584333,0.0162584333,1.48185977e-12,122.7478,40.9227,1.10377033,0.000107316555,0.000106637,1.0063726
mos_ff_27C_1.20V,mos_ff,27,1.20,0.6,1,0.921359303,0.171041486,0.278640697,0.171041486,0.750317817,1.11798705,1.47352759e-07,0.0149892489,0.0149892489,2.26076276e-11,141.2728,41.9981,1.12241523,0.000110042876,0.000109456,1.00536175
mos_ff_27C_1.32V,mos_ff,27,1.32,0.66,1,1.03230187,0.177377763,0.28769813,0.177377763,0.854924107,1.24321836,1.88102858e-07,0.0138489624,0.0138489626,2.02803128e-10,161.9864,43.1373,1.12879104,0.000112590449,0.000112079,1.00456329
mos_ff_125C_1.08V,mos_ff,125,1.08,0.54,1,0.782845933,0.204549841,0.297154067,0.204549841,0.578296092,0.971721249,1.29228847e-05,0.0191996871,0.0191996871,4.45851273e-11,95.3058,39.0791,1.05965461,0.000101948051,0.000101293,1.00646689
mos_ff_125C_1.20V,mos_ff,125,1.20,0.6,1,0.895104189,0.213037795,0.304895811,0.213037795,0.682066394,1.10182749,1.33567235e-05,0.0175170129,0.0175170129,4.17731891e-11,113.3535,40.4597,1.07510265,0.000104201997,0.00010364,1.00542259
mos_ff_125C_1.32V,mos_ff,125,1.32,0.66,1,1.00600227,0.220771964,0.31399773,0.220771964,0.785230306,1.22911273,1.38983166e-05,0.0160865163,0.0160865163,3.69857166e-11,131.8314,41.6923,1.08493536,0.000106314849,0.000105824,1.00463835
mos_sf_-40C_1.08V,mos_sf,-40,1.08,0.54,1,0.826536451,0.14313933,0.253463549,0.14313933,0.683397121,1.00689826,1.94585794e-08,0.0143862242,0.0143862243,1.45924604e-10,165.7559,44.0231,1.0430713,0.000112412134,0.000111494,1.00823483
mos_sf_-40C_1.20V,mos_sf,-40,1.20,0.6,1,0.937327623,0.147973051,0.262672377,0.147973051,0.789354572,1.1327791,2.40571328e-08,0.0124066042,0.0124066044,2.33217888e-10,192.6085,44.3623,1.16562928,0.000116686698,0.000116085,1.00518325
mos_sf_-40C_1.32V,mos_sf,-40,1.32,0.66,1,1.04888873,0.153217719,0.27111127,0.153217719,0.895671011,1.25627963,3.0373547e-08,0.0114304053,0.0114304056,2.77786013e-10,220.1891,44.8811,1.2552806,0.000119787977,0.000119295,1.00413242
mos_sf_27C_1.08V,mos_sf,27,1.08,0.54,1,0.807640072,0.167043274,0.272359928,0.167043274,0.640596798,0.99545989,5.804084e-08,0.0163569655,0.0163569655,2.63693893e-11,135.5601,42.1969,1.05265699,0.00010707898,0.000106245,1.00784959
mos_sf_27C_1.20V,mos_sf,27,1.20,0.6,1,0.918763597,0.172893464,0.281236403,0.172893464,0.745870133,1.12237145,7.24894125e-08,0.014432574,0.014432574,4.150243e-11,157.8013,42.9077,1.12908224,0.00011043288,0.000109837,1.00542513
mos_sf_27C_1.32V,mos_sf,27,1.32,0.66,1,1.03030975,0.179362773,0.28969025,0.179362773,0.850946977,1.24686903,1.01023604e-07,0.013237406,0.0132374063,3.21632072e-10,181.6167,43.8668,1.16363233,0.000113108894,0.000112613,1.00440352
mos_sf_125C_1.08V,mos_sf,125,1.08,0.54,1,0.782015545,0.206837796,0.297984455,0.206837796,0.575177749,0.979202849,8.58472576e-06,0.0190021001,0.0190021001,1.50602621e-11,106.3684,40.1002,1.0514839,0.000101284733,0.000100557,1.00723702
mos_sf_125C_1.20V,mos_sf,125,1.20,0.6,1,0.892865514,0.214542962,0.307134486,0.214542962,0.678322552,1.10785698,9.15811564e-06,0.0170175336,0.0170175336,3.69523821e-11,125.2421,41.254,1.08405256,0.000103825433,0.000103255,1.00552451
mos_sf_125C_1.32V,mos_sf,125,1.32,0.66,1,1.00444559,0.222671844,0.31555441,0.222671844,0.781773746,1.23392351,9.78636997e-06,0.0155520534,0.0155520534,1.03271003e-11,145.485,42.4409,1.09843211,0.000106028584,0.000105543,1.00460082
mos_fs_-40C_1.08V,mos_fs,-40,1.08,0.54,1,0.828508872,0.142523569,0.251491128,0.142523569,0.685985303,0.996564902,9.82167809e-09,0.0153668135,0.0153668136,7.2428662e-11,143.3895,42.3964,1.08817151,0.000112621083,0.000111804,1.00730817
mos_fs_-40C_1.20V,mos_fs,-40,1.20,0.6,1,0.939991798,0.147797142,0.260008202,0.147797142,0.792194656,1.12497187,1.11741211e-08,0.0140665959,0.014066596,1.06080306e-10,163.4196,42.849,1.17721054,0.000115977088,0.000115338,1.005541
mos_fs_-40C_1.32V,mos_fs,-40,1.32,0.66,1,1.05135556,0.152834617,0.26864444,0.152834617,0.898520943,1.25045278,1.32054213e-08,0.0130797183,0.0130797185,1.6179418e-10,185.0516,43.7358,1.20365727,0.000118921862,0.00011836,1.00474706
mos_fs_27C_1.08V,mos_fs,27,1.08,0.54,1,0.806178448,0.165377459,0.273821552,0.165377459,0.640800989,0.978639841,2.37782653e-08,0.0179928653,0.0179928653,2.39661936e-11,113.454,40.5203,1.06857451,0.000107308788,0.000106512,1.00748073
mos_fs_27C_1.20V,mos_fs,27,1.20,0.6,1,0.919539147,0.172649487,0.280460853,0.172649487,0.74688966,1.10975674,2.88913793e-08,0.0164446376,0.0164446377,5.9606306e-11,132.485,41.4537,1.12068023,0.000110161534,0.000109512,1.00593117
mos_fs_27C_1.32V,mos_fs,27,1.32,0.66,1,1.03062212,0.17796977,0.28937788,0.17796977,0.85265235,1.23723015,4.16531608e-08,0.0151897478,0.0151897481,2.70284739e-10,151.4539,42.5067,1.13486829,0.000112742745,0.000112177,1.00504332
mos_fs_125C_1.08V,mos_fs,125,1.08,0.54,1,0.772224158,0.200138,0.307775842,0.200138,0.572086158,0.952307749,6.13543821e-06,0.0219273527,0.0219273527,1.12841923e-11,79.6854,37.7812,1.0287711,0.000101715591,0.000100948,1.00760383
mos_fs_125C_1.20V,mos_fs,125,1.20,0.6,1,0.889680449,0.212326742,0.310319551,0.212326742,0.677353707,1.08802395,6.59002621e-06,0.0195745397,0.0195745397,2.49776935e-11,101.6389,39.5684,1.06816897,0.000104045864,0.000103412,1.0061295
mos_fs_125C_1.32V,mos_fs,125,1.32,0.66,1,1.00210032,0.220964829,0.31789968,0.220964829,0.781135491,1.21860728,7.10018284e-06,0.0178976216,0.0178976217,8.86989961e-11,119.6093,40.8674,1.08241786,0.000106187852,0.000105639,1.00519554
