point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_dc_v,vd1_dc_v,vd2_dc_v,vtail_dc_v,vibias_dc_v,ivdd_total_a,clgain_100hz,clgain_1mhz,vni_int_vrms,vni_int_crosscheck_ratio,vni_100hz_v_rthz,vni_1khz_v_rthz,vni_10khz_v_rthz,vni_100khz_v_rthz,vni_1mhz_v_rthz,flicker_coeff_v2,thermal_floor_v_rthz,flicker_corner_hz,flicker_frac_of_msq
mos_sf_-40C_1.32V,mos_sf,-40,1.32,0.66,1,0.648689,0.768089,0.580713,0.154673,0.440982,0.000119295,0.983848,0.983742,7.36702E-05,1.00104,2.3524e-06,7.44093e-07,2.3593e-07,7.6564e-08,2.97901e-08,5.53235e-10,1.82195e-08,1.66663e+06,0.938844
mos_sf_27C_1.08V,mos_sf,27,1.08,0.54,1,0.523733,0.557889,0.35556,0.0816465,0.41388,0.000106245,0.997667,0.996929,8.69202E-05,1.00102,2.76147e-06,8.73526e-07,2.7709e-07,9.02914e-08,3.60763e-08,7.62296e-10,2.31142e-08,1.42681e+06,0.929292
mos_sf_27C_1.20V,mos_sf,27,1.20,0.6,1,0.585747,0.659714,0.472096,0.134175,0.41388,0.000109837,0.981926,0.981806,8.49986E-05,1.00103,2.70916e-06,8.56955e-07,2.71757e-07,8.83217e-08,3.4706e-08,7.33733e-10,2.16106e-08,1.5711e+06,0.935366
mos_sf_27C_1.32V,mos_sf,27,1.32,0.66,1,0.646931,0.772217,0.58885,0.190293,0.41388,0.000112613,0.980314,0.980384,8.27878E-05,1.00103,2.63978e-06,8.35004e-07,2.64787e-07,8.60285e-08,3.37294e-08,6.96641e-10,2.09216e-08,1.59154e+06,0.936144
mos_sf_125C_1.08V,mos_sf,125,1.08,0.54,1,0.521262,0.574578,0.389558,0.137577,0.370492,0.000100557,0.98263,0.982294,0.000103572,1.00103,3.29263e-06,1.04154e-06,3.30366e-07,1.07595e-07,4.28554e-08,1.08375e-09,2.73095e-08,1.45312e+06,0.930483
mos_sf_125C_1.20V,mos_sf,125,1.20,0.6,1,0.583261,0.682485,0.506103,0.192944,0.370492,0.000103255,0.9756,0.97568,0.000100856,1.00103,3.21032e-06,1.01549e-06,3.22069e-07,1.04787e-07,4.14654e-08,1.03027e-09,2.61371e-08,1.50813e+06,0.932849
mos_sf_125C_1.32V,mos_sf,125,1.32,0.66,1,0.64469,0.795566,0.622849,0.249961,0.370492,0.000105543,0.976007,0.976289,9.7955E-05,1.00103,3.11822e-06,9.86356e-07,3.12828e-07,1.01775e-07,4.02524e-08,9.7202e-10,2.53553e-08,1.51195e+06,0.933007
mos_fs_-40C_1.08V,mos_fs,-40,1.08,0.54,1,0.524745,0.487601,0.299539,0.0859062,0.392554,0.000111804,0.993706,0.993113,7.96706E-05,1.00103,2.5468e-06,8.05577e-07,2.55399e-07,8.28057e-08,3.20367e-08,6.48445e-10,1.93678e-08,1.72867e+06,0.94091
mos_fs_-40C_1.20V,mos_fs,-40,1.20,0.6,1,0.586109,0.596679,0.416199,0.140642,0.392554,0.000115338,0.981321,0.981054,7.83936E-05,1.00104,2.5095e-06,7.93767e-07,2.51625e-07,8.14893e-08,3.12854e-08,6.29604e-10,1.86228e-08,1.81541e+06,0.943574
mos_fs_-40C_1.32V,mos_fs,-40,1.32,0.66,1,0.647081,0.710969,0.533036,0.197226,0.392554,0.00011836,0.980988,0.980856,7.67165E-05,1.00104,2.4561e-06,7.76877e-07,2.46269e-07,7.97474e-08,3.05942e-08,6.03102e-10,1.81869e-08,1.82336e+06,0.943806
mos_fs_27C_1.08V,mos_fs,27,1.08,0.54,1,0.522254,0.487711,0.305177,0.119684,0.365141,0.000106512,0.982469,0.98208,9.0752E-05,1.00104,2.89969e-06,9.17201e-07,2.908e-07,9.43183e-08,3.65891e-08,8.40574e-10,2.22293e-08,1.70108e+06,0.940009
mos_fs_27C_1.20V,mos_fs,27,1.20,0.6,1,0.583814,0.598461,0.421734,0.175858,0.365141,0.000109512,0.976274,0.976162,8.87141E-05,1.00104,2.83689e-06,8.97331e-07,2.8448e-07,9.22079e-08,3.56101e-08,8.04575e-10,2.1447e-08,1.74917e+06,0.941562
mos_fs_27C_1.32V,mos_fs,27,1.32,0.66,1,0.645039,0.712555,0.538471,0.233128,0.365141,0.000112177,0.976607,0.976643,8.64432E-05,1.00104,2.76423e-06,8.74349e-07,2.77195e-07,8.98483e-08,3.46981e-08,7.63897e-10,2.09014e-08,1.74858e+06,0.941543
mos_fs_125C_1.08V,mos_fs,125,1.08,0.54,1,0.518652,0.506917,0.335611,0.176269,0.321384,0.000100948,0.961716,0.961454,0.000108949,1.00103,3.47626e-06,1.09959e-06,3.48669e-07,1.13216e-07,4.42529e-08,1.20806e-09,2.72691e-08,1.62459e+06,0.937361
mos_fs_125C_1.20V,mos_fs,125,1.20,0.6,1,0.58084,0.618813,0.452113,0.234003,0.321384,0.000103412,0.967846,0.967882,0.000105579,1.00103,3.37102e-06,1.06629e-06,3.38091e-07,1.09721e-07,4.27294e-08,1.13603e-09,2.61517e-08,1.66108e+06,0.938653
mos_fs_125C_1.32V,mos_fs,125,1.32,0.66,1,0.642442,0.732888,0.568822,0.292175,0.321384,0.000105639,0.970685,0.970906,0.000102522,1.00104,3.27324e-06,1.03537e-06,3.28287e-07,1.06545e-07,4.15009e-08,1.07109e-09,2.5415e-08,1.65825e+06,0.938554
