point_id,corner,temp_c,vdd_v,vcm_v,op_pass,vout_dc_v,vd1_dc_v,vd2_dc_v,vtail_dc_v,vibias_dc_v,ivdd_total_a,av0_db,acm0_db,acm_1khz_db,cmrr_db,cmrr_1khz_db,cmrr_plateau_delta_db,avs0_db,avs_1khz_db,psrr_db,psrr_1khz_db,psrr_plateau_delta_db,op_xcheck_psrr_delta_v,ol_vout_dc_v,ol_vout_delta_v
mos_ss_-40C_1.20V,mos_ss,-40,1.20,0.6,1,0.58706,0.593222,0.388812,0.074807,0.465627,0.000116044,44.9894,-10.2495,-10.2506,55.2389,55.24,0,29.0517,40.2876,15.9377,4.7018,0.0083333,0,0.58706,0
mos_ss_-40C_1.32V,mos_ss,-40,1.32,0.66,1,0.648348,0.699492,0.505657,0.128283,0.465627,0.000119655,45.1965,7.53292,7.53178,37.6636,37.6647,0,36.5609,43.5652,8.6356,1.6313,0.0071503,0,0.648348,0
mos_ss_27C_1.08V,mos_ss,27,1.08,0.54,1,0.521838,0.502861,0.277473,0.0580756,0.438845,0.000105395,42.2749,8.23129,8.23033,34.0436,34.0446,0,22.3819,34.7916,19.893,7.4833,0.0193402,0,0.521838,0
mos_ss_27C_1.20V,mos_ss,27,1.20,0.6,1,0.584796,0.592136,0.393926,0.1066,0.438845,0.000109687,43.047,-1.04753,-1.04834,44.0945,44.0953,0,31.4629,39.2597,11.5841,3.7873,0.0087915,0,0.584796,0
mos_ss_27C_1.32V,mos_ss,27,1.32,0.66,1,0.646242,0.701043,0.510655,0.161711,0.438845,0.000112698,43.7571,7.96531,7.96443,35.7918,35.7927,0,36.6746,41.7543,7.0825,2.0028,0.0074982,0,0.646242,0
mos_ss_125C_1.08V,mos_ss,125,1.08,0.54,1,0.519078,0.508919,0.307583,0.109045,0.395788,9.98521E-05,39.711,-16.9147,-16.9153,56.6257,56.6263,0,27.3984,34.1952,12.3126,5.5158,0.0067559,0,0.519078,0
mos_ss_125C_1.20V,mos_ss,125,1.20,0.6,1,0.581861,0.609818,0.42401,0.162492,0.395788,0.000102937,40.8965,4.58978,4.58916,36.3067,36.3073,0,33.3971,37.6844,7.4994,3.2121,0.0044202,0,0.581861,0
mos_ss_125C_1.32V,mos_ss,125,1.32,0.66,1,0.643545,0.72075,0.540689,0.219058,0.395788,0.000105347,41.9971,7.97883,7.97812,34.0183,34.019,0,37.1041,39.6394,4.893,2.3577,0.0030526,0,0.643545,0
mos_ff_-40C_1.08V,mos_ff,-40,1.08,0.54,1,0.526122,0.5544,0.376318,0.11195,0.368739,0.000111806,42.2866,2.41883,2.41821,39.8678,39.8684,0,34.2637,39.7534,8.0229,2.5332,0.000107,0,0.526122,0
mos_ff_-40C_1.20V,mos_ff,-40,1.20,0.6,1,0.587154,0.667411,0.492996,0.16793,0.368739,0.000115032,43.0893,6.85463,6.85394,36.2347,36.2354,0,37.7552,41.4438,5.3341,1.6455,8.64e-05,0,0.587154,0
mos_ff_-40C_1.32V,mos_ff,-40,1.32,0.66,1,0.648044,0.78222,0.60983,0.224565,0.368739,0.000118012,44.1351,7.76693,7.76614,36.3682,36.369,0,39.8741,42.5766,4.261,1.5585,6.92e-05,0,0.648044,0
mos_ff_27C_1.08V,mos_ff,27,1.08,0.54,1,0.523986,0.558578,0.384829,0.147456,0.341318,0.000106637,40.9227,4.59185,4.59136,36.3308,36.3313,0,35.0126,38.3787,5.9101,2.544,4.67e-05,0,0.523986,0
mos_ff_27C_1.20V,mos_ff,27,1.20,0.6,1,0.585237,0.671846,0.501444,0.204243,0.341318,0.000109456,41.9981,7.14758,7.14701,34.8505,34.8511,0,38.0111,39.9363,3.987,2.0618,3.15e-05,0,0.585237,0
mos_ff_27C_1.32V,mos_ff,27,1.32,0.66,1,0.646345,0.786506,0.61822,0.261497,0.341318,0.000112079,43.1373,7.9769,7.97624,35.1604,35.1611,0,40.1385,41.1443,2.9988,1.993,2.21e-05,0,0.646345,0
mos_ff_125C_1.08V,mos_ff,125,1.08,0.54,1,0.521204,0.582242,0.41882,0.206157,0.297521,0.000101293,39.0791,6.31591,6.31551,32.7632,32.7636,0,35.3396,36.3987,3.7395,2.6804,7.6e-06,0,0.521204,0
mos_ff_125C_1.20V,mos_ff,125,1.20,0.6,1,0.582813,0.695818,0.535444,0.26389,0.297521,0.00010364,40.4597,7.33182,7.33133,33.1279,33.1284,0,37.9353,38.095,2.5244,2.3647,4.6e-06,0,0.582813,0
mos_ff_125C_1.32V,mos_ff,125,1.32,0.66,1,0.644187,0.810513,0.652241,0.321914,0.297521,0.000105824,41.6923,7.94573,7.94514,33.7466,33.7472,0,39.8214,39.4366,1.8709,2.2557,3e-06,0,0.644187,0
mos_sf_-40C_1.08V,mos_sf,-40,1.08,0.54,1,0.525604,0.562576,0.347276,0.0506921,0.440982,0.000111494,44.0231,7.60384,7.60267,36.4193,36.4204,0,23.0778,36.9109,20.9453,7.1122,0.0064289,0,0.525604,0
mos_sf_-40C_1.20V,mos_sf,-40,1.20,0.6,1,0.587706,0.656243,0.463879,0.0994322,0.440982,0.000116085,44.3623,2.84058,2.83959,41.5217,41.5227,0,33.857,41.5375,10.5053,2.8248,0.0026199,0,0.587706,0
mos_sf_-40C_1.32V,mos_sf,-40,1.32,0.66,1,0.648689,0.768089,0.580713,0.154673,0.440982,0.000119295,44.8811,8.08569,8.08459,36.7954,36.7965,0,38.1841,43.5813,6.697,1.2998,0.0025745,0,0.648689,0
mos_sf_27C_1.08V,mos_sf,27,1.08,0.54,1,0.523733,0.557889,0.35556,0.0816465,0.41388,0.000106245,42.1969,-3.33143,-3.33221,45.5283,45.5291,0,28.2409,36.6717,13.956,5.5252,0.0031116,0,0.523733,0
mos_sf_27C_1.20V,mos_sf,27,1.20,0.6,1,0.585747,0.659714,0.472096,0.134175,0.41388,0.000109837,42.9077,5.46143,5.46065,37.4463,37.447,0,35.5724,40.2729,7.3353,2.6348,0.0019508,0,0.585747,0
mos_sf_27C_1.32V,mos_sf,27,1.32,0.66,1,0.646931,0.772217,0.58885,0.190293,0.41388,0.000112613,43.8668,8.22236,8.22148,35.6444,35.6453,0,38.9633,42.0032,4.9035,1.8636,0.00163,0,0.646931,0
mos_sf_125C_1.08V,mos_sf,125,1.08,0.54,1,0.521262,0.574578,0.389558,0.137577,0.370492,0.000100557,40.1002,-0.996801,-0.997364,41.097,41.0976,0,32.4904,36.0041,7.6098,4.0961,0.0007966,0,0.521262,0
mos_sf_125C_1.20V,mos_sf,125,1.20,0.6,1,0.583261,0.682485,0.506103,0.192944,0.370492,0.000103255,41.254,6.49637,6.49573,34.7576,34.7583,0,36.8916,38.5691,4.3624,2.6849,0.0005181,0,0.583261,0
mos_sf_125C_1.32V,mos_sf,125,1.32,0.66,1,0.64469,0.795566,0.622849,0.249961,0.370492,0.000105543,42.4409,8.03427,8.03352,34.4066,34.4074,0,39.4839,40.1434,2.957,2.2975,0.0003628,0,0.64469,0
mos_fs_-40C_1.08V,mos_fs,-40,1.08,0.54,1,0.524745,0.487601,0.299539,0.0859062,0.392554,0.000111804,42.3964,-20.4358,-20.4364,62.8322,62.8328,0,30.5975,38.2978,11.7989,4.0986,0.0003049,0,0.524745,0
mos_fs_-40C_1.20V,mos_fs,-40,1.20,0.6,1,0.586109,0.596679,0.416199,0.140642,0.392554,0.000115338,42.849,6.2714,6.27072,36.5776,36.5783,0,35.7069,41.0324,7.1421,1.8166,0.0003224,0,0.586109,0
mos_fs_-40C_1.32V,mos_fs,-40,1.32,0.66,1,0.647081,0.710969,0.533036,0.197226,0.392554,0.00011836,43.7358,7.95732,7.95655,35.7785,35.7792,0,37.8688,42.2471,5.867,1.4887,0.0002942,0,0.647081,0
mos_fs_27C_1.08V,mos_fs,27,1.08,0.54,1,0.522254,0.487711,0.305177,0.119684,0.365141,0.000106512,40.5203,0.275726,0.27525,40.2446,40.245,0,32.0998,37.0841,8.4205,3.4362,0.0001742,0,0.522254,0
mos_fs_27C_1.20V,mos_fs,27,1.20,0.6,1,0.583814,0.598461,0.421734,0.175858,0.365141,0.000109512,41.4537,6.76338,6.76284,34.6903,34.6909,0,35.4197,39.3235,6.034,2.1302,0.0001982,0,0.583814,0
mos_fs_27C_1.32V,mos_fs,27,1.32,0.66,1,0.645039,0.712555,0.538471,0.233128,0.365141,0.000112177,42.5067,8.13299,8.13236,34.3737,34.3743,0,37.8548,40.5916,4.6519,1.9151,0.000148,0,0.645039,0
mos_fs_125C_1.08V,mos_fs,125,1.08,0.54,1,0.518652,0.506917,0.335611,0.176269,0.321384,0.000100948,37.7812,7.03071,7.03038,30.7505,30.7508,0,31.5519,34.6168,6.2293,3.1644,6.7e-05,0,0.518652,0
mos_fs_125C_1.20V,mos_fs,125,1.20,0.6,1,0.58084,0.618813,0.452113,0.234003,0.321384,0.000103412,39.5684,7.48961,7.48918,32.0788,32.0792,0,35.2713,37.1395,4.2971,2.4289,4.88e-05,0,0.58084,0
mos_fs_125C_1.32V,mos_fs,125,1.32,0.66,1,0.642442,0.732888,0.568822,0.292175,0.321384,0.000105639,40.8674,8.15938,8.15886,32.708,32.7085,0,37.7983,38.6177,3.0691,2.2497,2.96e-05,0,0.642442,0
